,Gene,Old Human,Old Organoid,Young Human,Young Organoid
26020,TAGAP,10.0,3.0,49.0,1.0
26021,TAGLN,43.0,405.0,168.0,559.0
26022,TAGLN2,214.0,1808.0,5488.0,960.0
26023,TAGLN3,0.0,2.0,1.0,3.0
26024,TAL1,9.0,8.0,14.0,20.0
26025,TAL2,2.0,2.0,2.0,1.0
26026,TALDO1,1364.0,649.0,804.0,887.0
26027,TAMM41,37.001,47.001,30.0,6.0
26028,TANC1,35.0,237.99900000000002,67.0,120.0
26029,TANC2,29.0,189.99900000000002,41.0,267.0
26030,TANGO2,78.001,80.02500000000003,54.014999999999986,30.001000000000005
26031,TANGO6,84.0,123.0,56.0,138.0
26032,TANK,199.00099999999998,108.0,103.99900000000002,242.0
26033,TAOK1,192.0,327.0,203.0,348.0
26034,TAOK2,389.0,410.0,342.0,131.0
26035,TAOK3,368.0,189.0,291.001,155.0
26036,TAP1,85.75999999999999,231.96300000000008,184.603,65.15899999999999
26037,TAP2,131.18099999999998,134.10599999999994,163.32300000000004,145.68099999999998
26038,TAPBP,1825.0,906.779,1755.0,671.9989999999998
26039,TAPBPL,180.0,49.0,206.00099999999998,39.998999999999995
26040,TAPSAR1,45.0,29.0,93.001,16.0
26041,TAPT1,403.0,151.0,83.0,124.0
26042,TAPT1-AS1,43.0,25.0,8.0,19.0
26043,TARBP1,91.0,121.0,99.0,102.0
26044,TARBP2,125.999,84.001,71.0,55.0
26045,TARDBP,827.0,596.0,446.0,865.6369999999997
26046,TARM1,1.0,0.0,0.0,1.0
26047,TARP,8.0,0.0,33.0,0.0
26048,TARS,524.0,720.0010000000002,334.0,1089.0
26049,TARS2,416.026,190.06699999999995,103.78999999999996,9.678999999999974
26050,TARSL2,82.0,55.0,58.001000000000005,30.0
26051,TAS1R1,1.0,4.0,1.0,3.0
26052,TAS1R2,0.0,1.0,1.0,0.0
26053,TAS1R3,5.0,16.0,4.0,7.0
26054,TAS2R1,0.0,1.0,0.0,2.0
26055,TAS2R10,3.0,2.0,5.0,2.0
26056,TAS2R13,0.0,1.0,3.0,2.0
26057,TAS2R14,8.0,7.0,8.0,13.0
26058,TAS2R16,0.0,0.0,0.0,0.0
26059,TAS2R19,2.0,3.0,3.952,3.0
26060,TAS2R20,19.0,8.0,18.0,13.0
26061,TAS2R3,0.0,1.0,0.0,1.0
26062,TAS2R30,1.0,1.853,6.0,1.004
26063,TAS2R31,0.0,2.5,2.0,2.0
26064,TAS2R38,0.0,0.0,0.0,0.0
26065,TAS2R39,0.0,1.0,0.0,0.0
26066,TAS2R4,4.0,4.0,2.0,2.0
26067,TAS2R40,0.0,0.0,0.0,0.0
26068,TAS2R41,0.0,0.0,0.0,0.0
26069,TAS2R42,0.0,0.0,0.0,0.0
26070,TAS2R43,4.0,2.0,1.048,2.0
26071,TAS2R46,1.0,3.0,1.0,3.996
26072,TAS2R5,6.0,11.0,6.0,2.0
26073,TAS2R50,4.0,4.0,2.0,1.0
26074,TAS2R60,0.0,0.0,0.0,0.0
26075,TAS2R7,0.0,0.0,0.0,0.0
26076,TAS2R8,0.0,0.0,0.0,0.0
26077,TAS2R9,0.0,0.0,0.0,0.0
26078,TASP1,27.0,42.001000000000005,20.0,30.0
26079,TAT,22457.012000000002,109.0,11639.0,100.0
26080,TATDN1,96.001,132.0,59.0,135.0
26081,TATDN2,214.0,179.0,75.0,79.0
26082,TATDN3,94.0,29.0,58.0,27.0
26083,TAX1BP1,436.0,673.9979999999998,459.001,1059.0010000000002
26084,TAX1BP3,98.93100000000001,446.95399999999995,172.16700000000003,117.75900000000001
26085,TAZ,139.001,153.00199999999995,126.00099999999998,57.0
26086,TBATA,0.0,0.0,0.0,0.0
26087,TBC1D1,390.0,338.001,43.0,219.0
26088,TBC1D10A,85.0,48.0,284.0,48.0
26089,TBC1D10B,175.0,249.0,91.0,180.0
26090,TBC1D10C,14.0,11.0,48.0,2.0
26091,TBC1D12,67.0,133.0,45.0,99.0
26092,TBC1D13,222.0,150.0,102.0,153.0
26093,TBC1D14,643.0,255.0,397.999,272.0
26094,TBC1D15,184.0,190.99900000000002,265.999,276.001
26095,TBC1D16,286.0,674.0,246.0,510.9989999999998
26096,TBC1D17,504.0,265.001,102.96500000000003,60.0
26097,TBC1D19,21.0,17.0,19.0,43.0
26098,TBC1D2,328.0,372.645,235.99900000000002,147.0
